If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",8 things to expect from Google's biggest event of the year,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,Portugal runs for four days straight on renewable energy alone,Mycroft: The open source answer to natural language platforms,"The Algorithm March, Japan's Strangely Entertaining Exercise"
"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains
Chrome OS now has Material Design for the desktop,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,The new 64-bit Orange Pi is a quad-core computer for $20,Google now uses machine learning to make reading comics on phones easier,Elastic Stack 5.0.0 Released,Hintjens.com
The Real Product Market Fit,In defense of the Uber-ization of everything,The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Skill swarms - a new way to share expertise and work smarter together - Skillhive
Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Bolinho de parmesão,5 Ways to Save Time During Research | Viget,"Agility in the Cloud: Which ""As a Service"" Works for You?",Perfect Menu for Mobile Apps - UX Planet
Livraria dá adeus a estoque e imprime livros na hora,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Deck describing how MSFT plans to use Linkedin,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Unilever Buys Dollar Shave Club for $1 Billion
Críticas de design: dizendo as coisas que precisam ser ditas,What exactly is a design culture? ,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?,How Mature is Your Organization when it Comes to UX?
"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man
"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",The investment case for employing a Drupal core contributor - Dries Buytaert,"Thunder, a Drupal distribution for publishers",Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Dries Buytaert,"Waterwheel, the Drupal SDK Ecosystem"
Confirmed: Walmart buys Jet.com for $3B in cash,Automation and anxiety,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Lean IT is all about people - o Lean na TI é focado em pessoas,[Retro] Celebration Grids - Management 3.0,O que você deve fazer para se tornar um líder melhor?
OpenBazaar is Open for Business,Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Shopping app Spring's redesign could be a game-changer
We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
Drupal How-To: Responsive or Adaptive Images? | Acquia,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,How To Benefit From Getting Paid in Bitcoin,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Mini Courses with MS Chatbots,Create a Slack Bot to Interact with Your Wiki
Uso de API's no mercado de serviços financeiros,The Future of Digital Banking is Now,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,Google made a huge change to the way Google Maps look
Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
